Company Name,ID Number,Sector,Non Current Assets,Current Assets,Total Assets,Equity,Non Current Liabilities,Current Liabilities,Total Equity & Liabilities,Date
Photolist,1,consumer goods,1955968.46,1324022.1,3279990.56,864009.08,742660.24,1392673.06,2999342.38,2013-05-19
Photolist,231,consumer goods,1145922.32,1796562.44,2942484.76,827087.48,792492.64,-564593.78,1054986.34,2012-07-10
Photolist,261,utilities,368398.1,368154.91,736553.01,807002.25,177715.21,201269.58,1185987.04,2012-10-31
Photolist,300,technology,1149866.37,-237223.9,912642.4700000001,346289.59,835255.96,521884.31,1703429.86,2013-08-22
Photolist,683,financial,670156.88,-537357.75,132799.13,402662.18,103682.71,-22500.9,483843.99,2014-10-22
Photolist,1000,healthcare,951478.04,890329.29,1841807.33,344845.72,531591.14,364272.45,1240709.31,2014-03-24
Photolist,1266,utilities,167467.94,464723.08,632191.02,553865.95,130287.2,128840.56,812993.71,2012-05-20
Photolist,2316,basic materials,1502921.33,458429.04,1961350.37,1090551.45,513837.08,495643.13,2100031.66,2014-09-27
Photolist,2372,basic materials,1838951.69,1376630.95,3215582.6399999997,964150.19,559080.02,368186.38,1891416.5899999999,2014-08-14
Photolist,2802,consumer goods,786258.21,1408269.34,2194527.55,1544741.67,571749.13,-149559.5,1966931.2999999998,2013-11-06
Photolist,3003,utilities,29813.45,2071461.58,2101275.0300000003,326856.02,249495.85,-48593.91,527757.96,2013-11-25
Photolist,3421,healthcare,1461274.85,650300.59,2111575.44,932267.14,-339896.31,1125821.44,1718192.27,2014-01-11
